match_id,timestamp_min,kills_diff,deaths_diff,assists_diff,gold_diff,cs_diff,level_diff,towers_diff,inhibs_diff,dragons_diff,heralds_diff,barons_diff,blue_win
NA1_5394448990,10,-4,4,-4,-1794,-18,-0.2,0,0,0,0,0,0
NA1_5394448990,20,1,-1,3,-75,-28,0.6,0,0,0,1,0,0
NA1_5394448990,30,-1,1,12,-1307,-62,0.6,1,0,0,1,1,0
NA1_5394110247,10,-1,1,2,-3003,-84,-0.8,0,0,1,0,0,0
NA1_5394110247,20,-11,11,-17,-13235,-188,-1.8,-5,0,-1,-1,0,0
NA1_5394084225,10,-3,3,-6,-466,22,0.4,0,0,0,0,0,0
NA1_5394084225,20,-9,9,-9,-340,28,-0.4,2,0,-2,-1,0,0
NA1_5399606679,10,0,0,3,266,33,-0.2,0,0,1,0,0,1
NA1_5399606679,20,7,-7,9,4663,68,0.2,2,0,1,1,0,1
NA1_5399535464,10,4,-4,9,1077,-24,0.2,0,0,-1,0,0,0
NA1_5399535464,20,-2,2,-4,-3961,-53,-0.8,-2,0,-2,-1,0,0
NA1_5398129095,10,-6,6,-3,-1643,17,0.2,0,0,-1,0,0,1
NA1_5398129095,20,-8,8,2,-882,39,0.2,1,0,-2,1,0,1
NA1_5398129095,30,-11,11,-4,-2315,-3,0.4,2,0,0,1,1,1
NA1_5398106713,10,0,0,-1,418,29,-0.2,0,0,1,0,0,1
NA1_5398106713,20,2,-2,0,4185,118,0.6,2,0,1,1,0,1
NA1_5398106713,30,11,-11,19,10461,145,1.6,4,0,0,1,1,1
NA1_5398088737,10,2,-2,2,1422,3,0.0,0,0,0,0,0,1
NA1_5398088737,20,2,-2,4,2186,6,0.4,1,0,1,1,0,1
NA1_5398056527,10,1,-1,-5,1352,51,0.4,0,0,0,0,0,1
NA1_5398056527,20,0,0,-5,4318,67,0.2,5,0,-2,1,0,1
NA1_5398030751,10,-4,4,-7,-2626,-51,-0.4,0,0,-1,0,0,0
NA1_5398030751,20,-10,10,-19,-5078,-128,-0.6,-1,0,-3,1,0,0
NA1_5398006000,10,-1,1,2,465,31,0.2,0,0,1,0,0,0
NA1_5398006000,20,1,-1,18,-736,46,0.0,0,0,1,1,0,0
NA1_5393866364,10,-5,5,1,-1614,6,0.4,0,0,-1,0,0,1
NA1_5393866364,20,8,-8,19,5292,2,0.6,2,0,0,1,0,1
NA1_5392812672,10,6,-6,4,1730,12,0.4,0,0,1,0,0,1
NA1_5392812672,20,4,-4,3,-741,-14,-0.2,1,0,3,1,0,1
NA1_5392772219,10,-4,4,-5,-1570,-3,0.0,0,0,0,0,0,1
NA1_5392772219,20,-9,9,-16,-2002,-16,-0.4,0,0,-2,1,0,1
NA1_5392772219,30,-20,20,-44,-7061,-8,-1.6,-4,-1,-3,1,-1,1
NA1_5392737701,10,-4,4,0,-2858,-23,-0.8,0,0,-1,0,0,0
NA1_5392737701,20,-11,11,-9,-7202,-73,-0.8,-4,0,-2,-1,0,0
NA1_5392710003,10,1,-1,-2,732,9,0.0,0,0,-1,0,0,1
NA1_5392710003,20,7,-7,9,2103,-7,0.4,0,0,0,1,0,1
NA1_5392686396,10,-7,7,-11,-2618,-4,0.0,0,0,-1,0,0,0
NA1_5392666262,10,5,-5,4,1781,38,0.0,0,0,0,0,0,1
NA1_5392152962,10,-5,5,-2,-1828,10,-0.4,0,0,1,0,0,0
NA1_5392152962,20,-15,15,-12,-7202,-68,-1.4,-3,0,0,-1,0,0
NA1_5392118654,10,-3,3,-6,796,45,-0.2,0,0,0,0,0,0
NA1_5392118654,20,-2,2,-7,4320,54,0.4,4,0,0,1,0,0
NA1_5392118654,30,-5,5,-23,-1797,14,-1.4,-2,0,0,1,-1,0
NA1_5392099022,10,2,-2,2,2078,38,0.8,0,0,-1,0,0,1
NA1_5392099022,20,11,-11,7,9710,129,1.0,3,0,0,1,0,1
NA1_5392066518,10,0,0,-6,263,28,0.2,0,0,-1,0,0,0
NA1_5392066518,20,-5,5,-12,-259,25,-0.4,0,0,-3,1,0,0
NA1_5392066518,30,-14,14,-31,-3035,3,-1.0,-2,0,-3,1,0,0
NA1_5392030665,10,0,0,0,-119,-13,0.0,0,0,0,0,0,0
NA1_5392030665,20,-2,2,3,468,-41,-0.8,1,0,0,1,0,0
NA1_5391991345,10,1,-1,-1,56,6,0.0,0,0,-1,0,0,0
NA1_5391991345,20,-3,3,-10,-279,52,0.0,0,0,-2,0,0,0
NA1_5391956797,10,3,-3,2,1968,23,0.6,0,0,-1,0,0,1
NA1_5391956797,20,7,-7,-3,4908,34,0.4,6,0,1,1,0,1
NA1_5391919777,10,-2,2,-1,-1294,-25,0.0,0,0,0,0,0,1
NA1_5391919777,20,5,-5,8,300,-96,0.6,-2,0,-2,1,0,1
NA1_5391919777,30,13,-13,36,7078,-70,1.6,1,0,-1,1,0,1
NA1_5390564619,10,-3,3,-1,-1470,-7,-0.6,0,0,-1,0,0,0
NA1_5390564619,20,-6,6,-8,-4292,-59,-0.2,-3,0,-2,1,0,0
NA1_5390530364,10,5,-5,6,2200,14,0.0,0,0,-1,0,0,1
NA1_5390530364,20,13,-13,21,5920,-1,0.4,3,0,0,-1,0,1
NA1_5390530364,30,26,-26,39,6123,4,1.4,1,0,1,-1,0,1
NA1_5390502927,10,-9,9,-8,-4848,-32,-0.6,0,0,-1,0,0,0
NA1_5390502927,20,-11,11,-5,-6534,-70,-0.2,-7,-1,-2,-1,0,0
NA1_5390467176,10,0,0,3,223,2,0.0,0,0,1,0,0,1
NA1_5390467176,20,6,-6,10,4575,51,0.2,3,0,3,1,0,1
NA1_5390421697,10,-2,2,-1,-90,37,0.2,0,0,1,0,0,1
NA1_5390421697,20,-5,5,-1,645,32,0.0,-1,0,-1,1,0,1
NA1_5390421697,30,4,-4,18,7613,40,1.8,1,1,0,1,1,1
NA1_5390383884,10,1,-1,-1,975,-8,0.6,0,0,-1,0,0,1
NA1_5390383884,20,2,-2,1,2719,-18,0.4,0,0,-3,1,0,1
NA1_5390353070,10,0,0,-1,-410,-4,0.0,0,0,-1,0,0,1
NA1_5390353070,20,8,-8,2,6970,39,1.2,3,0,-2,1,0,1
NA1_5389814093,10,-1,1,-1,668,17,-0.2,0,0,-1,0,0,0
